点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
50,10971,"31°15'57.868611""N","121°17'17.957489""E",-0.001,3408.95,-17031.487,0,六组,496
51,12000,"31°20'42.660037""N","121°10'48.529812""E",-0.001,12201.673,-27311.256,0,六组,497
52,12001,"31°25'14.853539""N","121°15'53.420068""E",-0.001,20567.279,-19236.847,0,六组,498
53,12002,"31°25'11.395682""N","121°15'42.788141""E",-0.001,20461.293,-19517.853,0,六组,499
54,12003,"31°24'59.507458""N","121°16'22.982473""E",-0.001,20093.242,-18456.871,0,六组,500
55,12004,"31°25'10.359659""N","121°16'51.319130""E",-0.001,20426.205,-17707.854,0,六组,501
56,12005,"31°24'47.089585""N","121°16'58.366934""E",-0.001,19709.195,-17522.889,0,六组,502
57,12006,"31°23'43.901641""N","121°13'50.362766""E",-0.001,17772.439,-22492.984,0,六组,503
58,12007,"31°24'19.663086""N","121°13'22.149536""E",-0.001,18875.474,-23235.93,0,六组,504
59,12008,"31°20'46.678096""N","121°14'21.624298""E",-0.001,12312.398,-21678.251,0,六组,505
60,12009,"31°20'06.179290""N","121°14'54.174254""E",-0.001,11063.356,-20820.312,0,六组,506
61,12010,"31°23'16.733530""N","121°13'01.604013""E",-0.001,16938.501,-23783.025,0,六组,507
62,12011,"31°20'15.331992""N","121°15'32.587455""E",-0.001,11343.306,-19804.298,0,六组,508
63,12012,"31°21'33.626685""N","121°15'20.049019""E",-0.001,13755.322,-20131.18,0,六组,509
64,12013,"31°21'31.198969""N","121°15'24.746013""E",-0.001,13680.316,-20007.184,0,六组,510
65,12014,"31°24'34.038891""N","121°13'00.648517""E",-0.001,19319.502,-23802.909,0,六组,511
66,12015,"31°24'15.716175""N","121°10'47.710871""E",-0.001,18763.674,-27315.936,0,六组,512
67,12016,"31°23'41.145430""N","121°10'07.463899""E",-0.001,17701.726,-28381.988,0,六组,513
68,12017,"31°23'33.404015""N","121°09'47.162128""E",-0.001,17464.752,-28918.999,0,六组,514
69,12018,"31°24'03.749713""N","121°10'10.271198""E",-0.001,18397.722,-28305.954,0,六组,515
70,12019,"31°24'02.615829""N","121°11'57.513750""E",-0.001,18355.584,-25472.956,0,六组,516
71,12020,"31°24'00.941149""N","121°12'37.150881""E",-0.001,18301.533,-24425.958,0,六组,517
72,12021,"31°23'00.354854""N","121°12'20.431001""E",-0.001,16436.554,-24872.049,0,六组,518
73,12022,"31°22'09.337422""N","121°13'41.396226""E",-0.001,14860.45,-22736.127,0,六组,519
74,12023,"31°22'50.814493""N","121°13'14.008109""E",-0.001,16139.485,-23457.064,0,六组,520
75,12024,"31°22'01.490644""N","121°13'29.344421""E",-0.001,14619.465,-23055.139,0,六组,521
76,12025,"31°21'15.816609""N","121°14'11.000574""E",-0.001,13210.411,-21957.207,0,六组,522
77,12034,"31°19'03.252176""N","121°11'02.645336""E",-0.001,9139.061,-26945.93,0,六组,523
78,12045,"31°17'04.084903""N","121°17'21.535786""E",-0.001,5448.165,-16933.586,0,六组,524
79,12108,"31°19'51.053830""N","121°14'37.602487""E",-0.001,10598.377,-21259.335,0,六组,525
80,12109,"31°19'30.168739""N","121°14'52.514599""E",-0.001,9954.358,-20866.366,0,六组,526
81,12110,"31°18'22.895516""N","121°10'24.966643""E",-0.001,7898.704,-27945.467,0,六组,527
